threshold,TP,TN,FP,FN,joint_f1,joint_f1_ci_low,joint_f1_ci_median,joint_f1_ci_high,positive_joint_recall,positive_joint_recall_ci_low,positive_joint_recall_ci_high,accepted_below_n,accepted_below_rate_all_positive,accepted_below_rate_ci_low,accepted_below_rate_ci_high,f1_gap_vs_identification,f1_gap_ci_low,f1_gap_ci_high
0.2,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.21,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.22,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.23,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.24,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.25,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.26,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.27,98,136,4,42,0.8099173553719008,0.752136766910553,0.8099173307418823,0.8617886304855347,0.7,0.6214285492897034,0.7785714268684387,35,0.25,0.1785714328289032,0.3214285671710968,0.15037145329235913,0.10321034491062164,0.20237819850444794
0.28,97,136,4,43,0.8049792531120332,0.7467811107635498,0.8049792647361755,0.8582996129989624,0.6928571428571428,0.6142857074737549,0.7714285850524902,36,0.2571428571428571,0.18571428954601288,0.3285714387893677,0.1553095555522267,0.10732773374766112,0.20774872638285158
0.29,97,136,4,43,0.8049792531120332,0.7467811107635498,0.8049792647361755,0.8582996129989624,0.6928571428571428,0.6142857074737549,0.7714285850524902,36,0.2571428571428571,0.18571428954601288,0.3285714387893677,0.1553095555522267,0.10732773374766112,0.20774872638285158
0.3,97,136,4,43,0.8049792531120332,0.7467811107635498,0.8049792647361755,0.8582996129989624,0.6928571428571428,0.6142857074737549,0.7714285850524902,36,0.2571428571428571,0.18571428954601288,0.3285714387893677,0.1553095555522267,0.10732773374766112,0.20774872638285158
0.31,97,136,4,43,0.8049792531120332,0.7467811107635498,0.8049792647361755,0.8582996129989624,0.6928571428571428,0.6142857074737549,0.7714285850524902,36,0.2571428571428571,0.18571428954601288,0.3285714387893677,0.1553095555522267,0.10732773374766112,0.20774872638285158
0.32,96,136,4,44,0.8,0.7410552561283111,0.800000011920929,0.8548387289047241,0.6857142857142857,0.6071428656578064,0.7642857432365417,37,0.2642857142857143,0.19285714626312256,0.33571428060531616,0.16028880866425987,0.11136527694761754,0.2141636610031128
0.33,96,136,4,44,0.8,0.7410552561283111,0.800000011920929,0.8548387289047241,0.6857142857142857,0.6071428656578064,0.7642857432365417,37,0.2642857142857143,0.19285714626312256,0.33571428060531616,0.16028880866425987,0.11136527694761754,0.2141636610031128
0.34,96,136,4,44,0.8,0.7410552561283111,0.800000011920929,0.8548387289047241,0.6857142857142857,0.6071428656578064,0.7642857432365417,37,0.2642857142857143,0.19285714626312256,0.33571428060531616,0.16028880866425987,0.11136527694761754,0.2141636610031128
0.35,96,136,4,44,0.8,0.7410552561283111,0.800000011920929,0.8548387289047241,0.6857142857142857,0.6071428656578064,0.7642857432365417,37,0.2642857142857143,0.19285714626312256,0.33571428060531616,0.16028880866425987,0.11136527694761754,0.2141636610031128
0.36,96,136,4,44,0.8,0.7410552561283111,0.800000011920929,0.8548387289047241,0.6857142857142857,0.6071428656578064,0.7642857432365417,37,0.2642857142857143,0.19285714626312256,0.33571428060531616,0.16028880866425987,0.11136527694761754,0.2141636610031128
0.37,95,136,4,45,0.7949790794979079,0.7359307408332825,0.7949790954589844,0.8492063283920288,0.6785714285714286,0.6000000238418579,0.7571428418159485,38,0.2714285714285714,0.20000000298023224,0.34285715222358704,0.165309729166352,0.11522302031517029,0.21947477757930756
