scope,role,head_authority,method,metric,outcome,mean,n
evaluation,Q→R,R003 Query Top5,top5,s30_iou,error,0.110271989067452,123
evaluation,Q→R,R003 Query Top5,top5,largest4n_iou,correct,0.30310421230974677,418
evaluation,Q→R,R003 Query Top5,top5,largest4n_iou,error,0.19610037727875948,123
evaluation,R→R,R006-T003 Reference Top5,L18H05,pointing,correct,0.7081339712918661,418
evaluation,R→R,R006-T003 Reference Top5,L18H05,pointing,error,0.4959349593495935,123
evaluation,R→R,R006-T003 Reference Top5,L18H05,s50_fiou,correct,0.20430881629823314,418
evaluation,R→R,R006-T003 Reference Top5,L18H05,s50_fiou,error,0.1302395433219129,123
evaluation,R→R,R006-T003 Reference Top5,L18H05,s30_iou,correct,0.2394398554963228,418
evaluation,R→R,R006-T003 Reference Top5,L18H05,s30_iou,error,0.13970819454956193,123
evaluation,R→R,R006-T003 Reference Top5,L18H05,largest4n_iou,correct,0.3630201481105924,418
evaluation,R→R,R006-T003 Reference Top5,L18H05,largest4n_iou,error,0.21694039079391714,123
evaluation,R→R,R006-T003 Reference Top5,L12H00,pointing,correct,0.19856459330143542,418
evaluation,R→R,R006-T003 Reference Top5,L12H00,pointing,error,0.15447154471544716,123
evaluation,R→R,R006-T003 Reference Top5,L12H00,s50_fiou,correct,0.10047477992670491,418
evaluation,R→R,R006-T003 Reference Top5,L12H00,s50_fiou,error,0.05883857782688602,123
evaluation,R→R,R006-T003 Reference Top5,L12H00,s30_iou,correct,0.1502145789806528,418
evaluation,R→R,R006-T003 Reference Top5,L12H00,s30_iou,error,0.09570588211817972,123
evaluation,R→R,R006-T003 Reference Top5,L12H00,largest4n_iou,correct,0.14499840741482667,418
evaluation,R→R,R006-T003 Reference Top5,L12H00,largest4n_iou,error,0.10207614966084795,123
evaluation,R→R,R006-T003 Reference Top5,L20H12,pointing,correct,0.6674641148325359,418
evaluation,R→R,R006-T003 Reference Top5,L20H12,pointing,error,0.4065040650406504,123
evaluation,R→R,R006-T003 Reference Top5,L20H12,s50_fiou,correct,0.20873184661984237,418
evaluation,R→R,R006-T003 Reference Top5,L20H12,s50_fiou,error,0.11088211877112318,123
evaluation,R→R,R006-T003 Reference Top5,L20H12,s30_iou,correct,0.22891114939282933,418
evaluation,R→R,R006-T003 Reference Top5,L20H12,s30_iou,error,0.13964009967279664,123
evaluation,R→R,R006-T003 Reference Top5,L20H12,largest4n_iou,correct,0.36630688363280894,418
evaluation,R→R,R006-T003 Reference Top5,L20H12,largest4n_iou,error,0.21519483394422873,123
evaluation,R→R,R006-T003 Reference Top5,L7H25,pointing,correct,0.17703349282296652,418
evaluation,R→R,R006-T003 Reference Top5,L7H25,pointing,error,0.13008130081300814,123
evaluation,R→R,R006-T003 Reference Top5,L7H25,s50_fiou,correct,0.11343372964074654,418
evaluation,R→R,R006-T003 Reference Top5,L7H25,s50_fiou,error,0.06379421643390594,123
evaluation,R→R,R006-T003 Reference Top5,L7H25,s30_iou,correct,0.16589967016075718,418
evaluation,R→R,R006-T003 Reference Top5,L7H25,s30_iou,error,0.10003594250110165,123
evaluation,R→R,R006-T003 Reference Top5,L7H25,largest4n_iou,correct,0.20287748180442142,418
evaluation,R→R,R006-T003 Reference Top5,L7H25,largest4n_iou,error,0.12801427956105665,123
evaluation,R→R,R006-T003 Reference Top5,L20H15,pointing,correct,0.5502392344497608,418
evaluation,R→R,R006-T003 Reference Top5,L20H15,pointing,error,0.34146341463414637,123
evaluation,R→R,R006-T003 Reference Top5,L20H15,s50_fiou,correct,0.16456735073941697,418
evaluation,R→R,R006-T003 Reference Top5,L20H15,s50_fiou,error,0.09438287021867209,123
evaluation,R→R,R006-T003 Reference Top5,L20H15,s30_iou,correct,0.20252972867357882,418
evaluation,R→R,R006-T003 Reference Top5,L20H15,s30_iou,error,0.12199114902905167,123
evaluation,R→R,R006-T003 Reference Top5,L20H15,largest4n_iou,correct,0.3242849703785969,418
evaluation,R→R,R006-T003 Reference Top5,L20H15,largest4n_iou,error,0.18221361910761888,123
evaluation,R→R,R006-T003 Reference Top5,top5,pointing,correct,0.69377990430622,418
evaluation,R→R,R006-T003 Reference Top5,top5,pointing,error,0.4715447154471545,123
evaluation,R→R,R006-T003 Reference Top5,top5,s50_fiou,correct,0.20424547117303962,418
evaluation,R→R,R006-T003 Reference Top5,top5,s50_fiou,error,0.11348114204671599,123
evaluation,R→R,R006-T003 Reference Top5,top5,s30_iou,correct,0.22829737241682746,418
evaluation,R→R,R006-T003 Reference Top5,top5,s30_iou,error,0.13378458651133995,123
evaluation,R→R,R006-T003 Reference Top5,top5,largest4n_iou,correct,0.33035686049906565,418
evaluation,R→R,R006-T003 Reference Top5,top5,largest4n_iou,error,0.18997922418515706,123
